"variable","unit","measure","n","A","B","C","D","E","F","G","H","I","K","L","M","N","O","P","Q","R","S","T"
"el_cond","mS/cm","min","10","0.668","0.15","0.376","0.3","0.195","0.579","0.634","0.284","0.272","0.324","0.292","0.32","0.597","0.701","0.539","0.391","0.343","0.478","0.66"
"el_cond","mS/cm","max","10","0.8","0.32","0.975","0.733","0.45","0.94","1.08","0.825","0.613","0.713","0.352","0.508","0.85","0.86","0.897","0.62","0.9","0.82","1"
"el_cond","mS/cm","mean","10","0.7","0.23","0.84","0.59","0.37","0.79","0.91","0.64","0.53","0.52","0.33","0.43","0.74","0.76","0.72","0.5","0.76","0.65","0.86"
"el_cond","mS/cm","sd","10","0.04","0.05","0.17","0.13","0.09","0.11","0.12","0.17","0.11","0.11","0.02","0.07","0.07","0.04","0.1","0.06","0.15","0.13","0.1"
"flow","m/s","min","10","0.22","0.28","0.11","0.3","0.09","0.01","0.14","0.37","0.1","0.36","0.32","0.07","0.36","0.38","0.23","0.12","0.04","0.23","0.35"
"flow","m/s","max","10","0.5","1.14","0.59","0.95","0.74","0.38","0.38","1.18","0.53","0.76","0.62","0.4","0.91","0.81","0.74","0.4","0.42","0.72","0.66"
"flow","m/s","mean","10","0.39","0.6","0.23","0.55","0.28","0.14","0.27","0.6","0.28","0.56","0.39","0.22","0.59","0.52","0.47","0.28","0.28","0.41","0.55"
"flow","m/s","sd","10","0.09","0.28","0.14","0.18","0.19","0.11","0.07","0.22","0.13","0.12","0.1","0.13","0.18","0.14","0.17","0.1","0.11","0.17","0.11"
"o2_mg","mg/L","min","9","5.3","6.43","0.42","6.75","4.74","3.81","4.84","7.46","4.38","5.96","7.17","6.66","5.73","7.51","6.7","6.79","5.17","6.43","6.58"
"o2_mg","mg/L","max","9","7.62","8.93","7.09","8.88","8.79","6.53","7.69","10.6","8.12","8.59","8.26","8.84","7.11","8.52","8.64","8.88","7.98","10.41","10.5"
"o2_mg","mg/L","mean","9","6.57","7.69","5.37","7.73","6.66","5.38","6.03","8.79","7.09","7.48","7.56","7.23","6.42","7.99","7.57","8","6.79","7.33","7.5"
"o2_mg","mg/L","sd","9","0.81","0.84","1.93","0.72","1.21","0.97","0.84","1.31","1.15","0.76","0.41","0.71","0.41","0.34","0.63","0.63","0.83","1.2","1.31"
"ph",NA,"min","10","8.02","8.37","8.14","8.37","7.93","7.89","8.02","8.31","8.1","8.18","8.15","8.16","8.16","7.96","8.2","8.32","7.95","8.16","8.18"
"ph",NA,"max","10","8.48","9.29","8.68","8.59","8.3","8.48","8.73","9.08","8.85","8.78","8.73","8.45","8.53","8.91","8.84","9.06","8.87","8.66","8.7"
"ph",NA,"mean","10","8.34","8.81","8.29","8.48","8.1","8.16","8.36","8.72","8.53","8.49","8.44","8.3","8.34","8.44","8.5","8.64","8.39","8.43","8.41"
"ph",NA,"sd","10","0.13","0.31","0.17","0.08","0.12","0.19","0.24","0.28","0.26","0.21","0.19","0.12","0.12","0.3","0.22","0.24","0.29","0.15","0.17"
"water_temp","째C","min","10","13.29","12.7","12.1","10.7","9.4","10.1","10.3","10.8","11.3","10.4","9.9","10.4","10.4","9.68","10.1","8.72","9.36","11.5","10.4"
"water_temp","째C","max","10","22.43","27.9","22.42","19.17","21.15","20.88","21.75","25.3","27.17","22.98","20.9","23.1","20.5","19.27","22.3","17.6","20.65","23.64","22.62"
"water_temp","째C","mean","10","17.18","18.33","17.06","16.07","14.15","14.03","15.26","17.79","18.95","16.54","15.26","16.62","14.97","14.49","16.29","13.13","15.28","17.77","16.85"
"water_temp","째C","sd","10","2.94","4.45","3.28","2.83","3.74","3.53","3.83","3.91","4.69","3.61","3.03","3.36","2.85","3.2","4.08","3.19","3.79","3.86","3.84"
"cl","mg/L","raw values","1","28","19","41","27","8","12","17","13","43","13","2","8","9","21","49","10","> 50","16","23"
"nh4","mg/L","raw values","1","< 0.1","< 0.1","0.1","< 0.1","0.1","< 0.1","0.2","< 0.1","0.1","< 0.1","< 0.1","< 0.1","0.3","< 0.1","0.1","0.2","0.3","1.3","0.1"
"no2","mg/L","raw values","1","0.06","0.01","0.03","0.01","0.02","< 0.01","0.01","0.01","< 0.01","0.01","0.01","0.01","0.02","0.01","0.04","0.04","0.06","0.02","0.03"
"no3","mg/L","raw values","1","3.8","< 1","1.6","1.9","< 0.1","< 1","< 1","< 1","< 0.01","< 1","2","1.5","1.7","< 1","1.1","3.3","< 0.1","1.6","1.1"
"po4","mg/L","raw values","1","0.5","0.3","1","0.2","0.6","0.7","0.4","0.7","0.5","0.3","0.3","0.5","0.8","0.8","0.4","0.3","0.8","0.6","0.8"
"so4","mg/L","raw values","1","27","< 20","56","120","< 20","54","43","112","43","23","< 20","21","83","66","60","< 20","53","77","114"
"buffer","m","raw values","1","5","10","3","50","10","10","20","50","5","20","5","30","10","4","5","5","3","25","20"
"shading","%","raw values","1","20","0","60","20","90","100","100","20","50","95","90","90","75","5","80","0","20","60","20"
"maxcover","%","raw values","1","80","40","60","60","40","60","50","50","35","40","60","50","100","60","70","85","70","75","60"
"maxcovname",NA,"raw values","1","forbs","meadow","meadow","forest","meadow","forbs","shrubs","shrubs","forest","forbs","forbs","forest","reed","reed","forbs","meadow","meadow","forbs","forbs"
"maxheight","m","raw values","1","2","4","14","12","12","10","8","7","13","16","14","18","2","1.7","12","12","3","16","12"
"maxheightname",NA,"raw values","1","shrubs","shrubs","forest","forest","forest","forest","forest","forest","forest","forest","forest","forest","reed","reed","forest","forest","shrubs","forest","forest"
"min_width","m","raw values","1","2","8.5","0.9","6.8","1.4","1.3","2.9","4.8","3.5","3.1","4.3","3.3","1.2","1","2.5","1.5","2","3","4.3"
"max_width","m","raw values","1","2.8","14.5","1.25","8","4.3","2.6","3.1","12.4","4.1","4.3","4.75","4.4","2","2","4.2","2.5","3.1","4","5.6"
"depth","cm","raw values","1","17","25","21.67","22.33","26","25.67","61.33","19.67","17","34","21","22.67","24","20.67","46.33","71.67","44.33","45.33","36.33"
"curvature","NA","raw values","1","slightly curved","moderatly curved","strongly curved","strongly curved","winding","winding","meandering","strongly curved","winding","strongly curved","slightly curved","slightly curved","meandering","meandering","winding","meandering","winding","strongly curved","slightly curved"
"riffles","%","raw values","1","60","100","40","90","10","10","70","60","30","50","90","80","80","60","50","50","30","80","50"
"pools","%","raw values","1","40","0","60","10","90","90","30","40","70","50","10","20","20","40","50","50","70","20","50"
"fine_sed","%","raw values","1","20","5","65","0","50","30","75","20","40","10","10","15","5","10","30","60","90","25","40"
