"site","date","sample_id","phylum","class","sub_class","order","family","genus","species","abundance","origin"
"A","2016-06-24","A_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,1832,1
"A","2016-06-24","A_2016-06-24","Annelida","Clitellata","Hirudinea","Arhynchobdellida","Erpobdellidae","Erpobdella",NA,26,1
"A","2016-06-24","A_2016-06-24","Annelida","Clitellata","Hirudinea","Rhynchobdellida","Glossiphoniidae","Helobdella",NA,3,1
"A","2016-06-24","A_2016-06-24","Mollusca",NA,NA,NA,NA,NA,NA,11,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",477,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Arachnida","Acari","Trombidiformes",NA,NA,NA,8,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Hydrophilidae",NA,NA,4,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Ceratopogonidae",NA,NA,1,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,435,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Dolichopodidae",NA,NA,1,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,9,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Psychodidae",NA,NA,1,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,477,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Tabanidae",NA,NA,3,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Tipulidae",NA,NA,1,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,659,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis",NA,2,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella",NA,5,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche",NA,198,1
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Dytiscidae","Agabus",NA,1,2
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis","Caenis luctuosa",1,2
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Elmidae","Elmis",NA,5,2
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella","Serratella ignita",2,2
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Hydraenidae","Hydraena",NA,1,2
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche angustipennis",28,2
"A","2016-06-24","A_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche bulbifera",99,2
"B","2016-06-24","B_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,43,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Arachnida","Acari","Trombidiformes",NA,NA,NA,7,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Ceratopogonidae",NA,NA,14,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,832,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Empididae",NA,NA,1,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,23,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,8,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,313,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Heptageniidae","Ecdyonurus",NA,3,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Plecoptera","Leuctridae","Leuctra",NA,16,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche",NA,289,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydroptilidae","Hydroptila",NA,1,1
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis","Caenis luctuosa",7,2
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella","Serratella ignita",2,2
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Oligoneuriidae","Oligoneuriella","Oligoneuriella rhenana",1,2
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche bulbifera",58,2
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Rhyacophilidae","Rhyacophila",NA,1,2
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Elmidae","Elmis",NA,1,2
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Elmidae","Esolus",NA,8,2
"B","2016-06-24","B_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Elmidae","Limnius",NA,2,2
"C","2016-06-24","C_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,854,1
"C","2016-06-24","C_2016-06-24","Annelida","Clitellata","Hirudinea","Arhynchobdellida","Erpobdellidae","Erpobdella",NA,5,1
"C","2016-06-24","C_2016-06-24","Annelida","Clitellata","Hirudinea","Rhynchobdellida","Glossiphoniidae","Glossiphonia",NA,11,1
"C","2016-06-24","C_2016-06-24","Mollusca","Gastropoda",NA,NA,NA,NA,NA,2,1
"C","2016-06-24","C_2016-06-24","Mollusca","Bivalvia",NA,NA,NA,NA,NA,832,1
"C","2016-06-24","C_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",47,1
"C","2016-06-24","C_2016-06-24","Arthropoda","Malacostraca",NA,"Isopoda","Asellidae","Asellus","Asellus aquaticus",1,1
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Hydrophilidae",NA,NA,5,1
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,747,1
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Dixidae",NA,NA,3,1
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,29,1
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Psychodidae",NA,NA,4,1
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,28,1
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Tabanidae",NA,NA,1,1
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Tipulidae",NA,NA,3,1
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,678,1
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Leptophlebiidae","Habrophlebia",NA,5,1
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche",NA,14,1
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Limnephilidae","Annitella",NA,1,2
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Odonata","Calopterygidae","Calopteryx","Calopteryx virgo",11,2
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Limnephilidae","Chaetopteryx","Chaetopteryx villosa",2,2
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Hydraenidae","Hydraena",NA,1,2
"C","2016-06-24","C_2016-06-24","Arthropoda","Insecta",NA,"Odonata","Platycnemididae","Platycnemis",NA,1,2
"D","2016-06-24","D_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,35,1
"D","2016-06-24","D_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",26,1
"D","2016-06-24","D_2016-06-24","Arthropoda","Arachnida","Acari","Trombidiformes",NA,NA,NA,156,1
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Ceratopogonidae",NA,NA,17,1
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,485,1
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,8,1
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,48,1
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,90,1
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Heptageniidae","Ecdyonurus",NA,3,1
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella",NA,17,1
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Plecoptera","Leuctridae","Leuctra",NA,76,1
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche",NA,306,1
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydroptilidae","Hydroptila",NA,2,1
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Limnephilidae",NA,NA,1,1
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis","Caenis luctuosa",3,2
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Limnephilidae","Chaetopteryx","Chaetopteryx villosa",1,2
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Elmidae","Elmis",NA,4,2
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella","Serratella ignita",83,2
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Elmidae","Esolus",NA,176,2
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Hydraenidae","Hydraena",NA,2,2
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche bulbifera",23,2
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Elmidae","Limnius",NA,1,2
"D","2016-06-24","D_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Elmidae","Riolus",NA,3,2
"E","2016-06-24","E_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,573,1
"E","2016-06-24","E_2016-06-24","Mollusca","Bivalvia",NA,NA,NA,NA,NA,1,1
"E","2016-06-24","E_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",3,1
"E","2016-06-24","E_2016-06-24","Arthropoda","Arachnida","Acari","Trombidiformes",NA,NA,NA,2,1
"E","2016-06-24","E_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,327,1
"E","2016-06-24","E_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Tabanidae",NA,NA,1,1
"E","2016-06-24","E_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,2,1
"E","2016-06-24","E_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Heptageniidae","Ecdyonurus",NA,1,1
"E","2016-06-24","E_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Leptophlebiidae","Habrophlebia",NA,13,1
"E","2016-06-24","E_2016-06-24","Arthropoda","Insecta",NA,"Megaloptera","Sialidae","Sialis",NA,3,1
"E","2016-06-24","E_2016-06-24","Arthropoda","Insecta",NA,"Odonata","Corduliidae",NA,NA,1,1
"E","2016-06-24","E_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Limnephilidae","Anabolia","Anabolia furcata",3,2
"E","2016-06-24","E_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella","Serratella ignita",1,2
"E","2016-06-24","E_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Limnephilidae","Potamophylax",NA,1,2
"F","2016-06-24","F_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,4,1
"F","2016-06-24","F_2016-06-24","Annelida","Clitellata","Hirudinea","Arhynchobdellida","Erpobdellidae","Erpobdella",NA,4,1
"F","2016-06-24","F_2016-06-24","Annelida","Clitellata","Hirudinea","Hirudinida","Hirudinidae","Hirudo",NA,1,1
"F","2016-06-24","F_2016-06-24","Mollusca","Gastropoda",NA,NA,NA,NA,NA,1,1
"F","2016-06-24","F_2016-06-24","Mollusca","Bivalvia",NA,NA,NA,NA,NA,1,1
"F","2016-06-24","F_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",56,1
"F","2016-06-24","F_2016-06-24","Arthropoda","Malacostraca",NA,"Isopoda","Asellidae","Asellus","Asellus aquaticus",245,1
"F","2016-06-24","F_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,200,1
"F","2016-06-24","F_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,1,1
"F","2016-06-24","F_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Leptophlebiidae","Habrophlebia",NA,126,1
"F","2016-06-24","F_2016-06-24","Arthropoda","Insecta",NA,"Odonata","Corduliidae",NA,NA,4,1
"F","2016-06-24","F_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Gyrinidae","Gyrinus",NA,1,2
"F","2016-06-24","F_2016-06-24","Arthropoda","Insecta",NA,"Odonata","Lestidae","Sympecma",NA,4,2
"G","2016-06-24","G_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,30,1
"G","2016-06-24","G_2016-06-24","Annelida","Clitellata","Hirudinea","Arhynchobdellida","Erpobdellidae","Erpobdella",NA,3,1
"G","2016-06-24","G_2016-06-24","Annelida","Clitellata","Hirudinea","Rhynchobdellida","Glossiphoniidae","Glossiphonia",NA,2,1
"G","2016-06-24","G_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",3132,1
"G","2016-06-24","G_2016-06-24","Arthropoda","Malacostraca",NA,"Isopoda","Asellidae","Asellus","Asellus aquaticus",8,1
"G","2016-06-24","G_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,16,1
"G","2016-06-24","G_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,6,1
"G","2016-06-24","G_2016-06-24","Arthropoda","Insecta",NA,"Megaloptera","Sialidae","Sialis",NA,1,1
"G","2016-06-24","G_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche",NA,4,1
"G","2016-06-24","G_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Limnephilidae","Anabolia","Anabolia furcata",6,2
"G","2016-06-24","G_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche angustipennis",6,2
"G","2016-06-24","G_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Limnephilidae","Potamophylax",NA,1,2
"H","2016-06-24","H_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,587,1
"H","2016-06-24","H_2016-06-24","Annelida","Clitellata","Hirudinea","Arhynchobdellida","Erpobdellidae","Erpobdella",NA,1,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",1,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,107,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,2,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,10,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,30,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis",NA,3,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Leptoceridae","Athripsodes",NA,1,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche",NA,36,1
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis","Caenis luctuosa",4,2
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella","Serratella ignita",1,2
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Leptophlebiidae","Habrophlebia",NA,5,2
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Hydraenidae","Hydraena",NA,2,2
"H","2016-06-24","H_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche bulbifera",45,2
"I","2016-06-24","I_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,25,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",1,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Maxillopoda","Copepoda",NA,NA,NA,NA,2,1
"I","2016-06-24","I_2016-06-24","Arthropoda",NA,"Ostracoda",NA,NA,NA,NA,1,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Arachnida","Acari","Trombidiformes",NA,NA,NA,2,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Hydrophilidae",NA,NA,2,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,75,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Ceratopogonidae",NA,NA,1,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Empididae",NA,NA,1,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,9,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Tabanidae",NA,NA,1,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,111,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis",NA,6,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella",NA,3,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Leptoceridae","Athripsodes",NA,7,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche",NA,2,1
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella","Serratella ignita",1,2
"I","2016-06-24","I_2016-06-24","Arthropoda","Insecta",NA,"Odonata","Gomphidae","Onychogomphus","Onychogomphus forcipatus",2,2
"K","2016-06-24","K_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,49,1
"K","2016-06-24","K_2016-06-24","Annelida","Clitellata","Hirudinea","Arhynchobdellida","Erpobdellidae","Erpobdella",NA,1,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",39,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Arachnida","Acari","Trombidiformes",NA,NA,NA,1,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Elmidae",NA,NA,2,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Ceratopogonidae",NA,NA,2,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,341,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,3,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Psychodidae",NA,NA,2,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,6,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Tabanidae",NA,NA,3,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,23,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis",NA,21,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Heptageniidae","Ecdyonurus",NA,11,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella",NA,94,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Plecoptera","Leuctridae","Leuctra",NA,4,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche",NA,71,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis","Caenis luctuosa",25,2
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus dispar",5,2
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Elmidae","Elmis",NA,1,2
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella","Serratella ignita",152,2
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Limnephilidae","Halesus","Halesus digitatus",1,2
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche bulbifera",11,2
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Odonata","Gomphidae","Onychogomphus","Onychogomphus forcipatus",3,2
"L","2016-06-24","L_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,1,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Arachnida","Acari","Trombidiformes",NA,NA,NA,30,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,12,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,1,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,12,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,30,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Heptageniidae","Ecdyonurus",NA,1,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella",NA,1,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Leptophlebiidae","Habrophlebia",NA,2,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Plecoptera","Leuctridae","Leuctra",NA,1,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Limnephilidae","Chaetopteryx","Chaetopteryx villosa",1,2
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Elmidae","Esolus",NA,3,2
"M","2016-06-24","M_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,21,1
